Period,Group,Time,ClientTime,Sender,Key,Value,Value.username,Value.group,Value.period,Value.page,Value.chosen,Value.keeper,Value.tmp,Value.time,Value.index,Value.new_hi_bound,Value.new_lo_bound,Value.value,Value.pay,Value.curr_subperiods,Value.id,Value.new_loc,Value.iterx,Value.itery,Value.new_pos,Config.group_size,Config.scale_y,Config.scale_x,Config.p2_options,Config.num_sp_settingy,Config.discrete_time_type,Config.show_secs_left,Config.payoff_func,Config.payoff_debug,Config.percent_cpsy,Config.percent_cpsx,Config.subperiods,Config.period_length,Config.paid,Config.t
0,0,1405977407910379000,0,Subject-12@leeps.ucsc.edu,__register__,{u'username': u'Subject-12@leeps.ucsc.edu'},Subject-12@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1405977408877439000,0,Subject-11@leeps.ucsc.edu,__register__,{u'username': u'Subject-11@leeps.ucsc.edu'},Subject-11@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1405977411624497000,0,Subject-10@leeps.ucsc.edu,__register__,{u'username': u'Subject-10@leeps.ucsc.edu'},Subject-10@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1405977412860408000,0,Subject-9@leeps.ucsc.edu,__register__,{u'username': u'Subject-9@leeps.ucsc.edu'},Subject-9@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1405977425037772000,1405977424105,Subject-12@leeps.ucsc.edu,__set_group__,{u'group': 1},,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1405977425091173000,1405977424106,Subject-11@leeps.ucsc.edu,__set_group__,{u'group': 1},,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,1405977425135659000,1405977424107,Subject-10@leeps.ucsc.edu,__set_group__,{u'group': 2},,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,1405977425179946000,1405977424107,Subject-9@leeps.ucsc.edu,__set_group__,{u'group': 2},,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1405977429341593000,1405977428409,Subject-12@leeps.ucsc.edu,__set_period__,{u'period': 1},,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1405977429402199000,1405977428410,Subject-11@leeps.ucsc.edu,__set_period__,{u'period': 1},,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1405977429447042000,1405977428410,Subject-10@leeps.ucsc.edu,__set_period__,{u'period': 1},,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1405977429490614000,1405977428339,Subject-12@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,run,,,,,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,0,1405977429558229000,1405977428410,Subject-9@leeps.ucsc.edu,__set_period__,{u'period': 1},,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1405977429612876000,1405977428489,Subject-11@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,run,,,,,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977429667159000,1405977428472,Subject-10@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,run,,,,,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977429700445000,1405977428718,Subject-9@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,run,,,,,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430345868000,1405977429241,Subject-10@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430352695000,1405977429248,Subject-10@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-9@leeps.ucsc.edu'}",,,,,True,Subject-9@leeps.ucsc.edu,,,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430416123000,1405977429441,Subject-9@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430417417000,1405977429443,Subject-9@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-10@leeps.ucsc.edu'}",,,,,True,Subject-10@leeps.ucsc.edu,,,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430422505000,1405977429448,Subject-9@leeps.ucsc.edu,sync_net,"{u'tmp': [{u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 2, u'target': [0, 0], u'color': u'#660066', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-10@leeps.ucsc.edu', u'payoff': 0}, {u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 2, u'target': [0, 0], u'color': u'#339966', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-9@leeps.ucsc.edu', u'payoff': 0}]}",,,,,,,"[{u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 2, u'target': [0, 0], u'color': u'#660066', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-10@leeps.ucsc.edu', u'payoff': 0}, {u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 2, u'target': [0, 0], u'color': u'#339966', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-9@leeps.ucsc.edu', u'payoff': 0}]",,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430424650000,1405977429448,Subject-9@leeps.ucsc.edu,sync_time,{u'time': 0},,,,,,,,0,,,,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430439080000,1405977429460,Subject-9@leeps.ucsc.edu,update_bounds,"{u'index': 0, u'new_hi_bound': 0, u'new_lo_bound': 0}",,,,,,,,,0,0,0,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,2,1405977430440665000,1405977429460,Subject-9@leeps.ucsc.edu,update_bounds,"{u'index': 1, u'new_hi_bound': 1, u'new_lo_bound': 0}",,,,,,,,,1,1,0,,,,,,,,,2,2,2,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430474252000,1405977429340,Subject-12@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430482891000,1405977429348,Subject-12@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-11@leeps.ucsc.edu'}",,,,,True,Subject-11@leeps.ucsc.edu,,,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430506130000,1405977429370,Subject-12@leeps.ucsc.edu,data_log,"{u'value': [{u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#660066', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-12@leeps.ucsc.edu', u'payoff': 0}, {u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#339966', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-11@leeps.ucsc.edu', u'payoff': 0}]}",,,,,,,,,,,,"[{u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#660066', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-12@leeps.ucsc.edu', u'payoff': 0}, {u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#339966', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-11@leeps.ucsc.edu', u'payoff': 0}]",,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430521613000,1405977429484,Subject-11@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430523293000,1405977429486,Subject-11@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-11@leeps.ucsc.edu'}",,,,,True,Subject-11@leeps.ucsc.edu,,,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430528040000,1405977429488,Subject-11@leeps.ucsc.edu,sync_net,"{u'tmp': [{u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#660066', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-12@leeps.ucsc.edu', u'payoff': 0}, {u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#339966', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-11@leeps.ucsc.edu', u'payoff': 0}]}",,,,,,,"[{u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#660066', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-12@leeps.ucsc.edu', u'payoff': 0}, {u'loc': 0, u'itery': 0, u'iterx': 0, u'group': 1, u'target': [0, 0], u'color': u'#339966', u'price': 0, u'bound_lo': 0, u'valid': 1, u'bound_hi': 0, u'id': u'Subject-11@leeps.ucsc.edu', u'payoff': 0}]",,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
1,1,1405977430530230000,1405977429488,Subject-11@leeps.ucsc.edu,sync_time,{u'time': 0},,,,,,,,0,,,,,,,,,,,,2,1,1,own,0,0,1,1,1,0,0,0,30,1,1
