Period,Group,Time,ClientTime,Sender,Key,Value,Value.username,Value.group,Value.curr_silo,Value.id,Value.period,Value.page,Value.chosen,Value.keeper,Value.index,Value.new_hi_bound,Value.new_lo_bound,Value.pay,Value.tmp,Value.time,Value.new_loc,Value.iterx,Value.itery,Value.new_pos,Value.curr_subperiods,Value.value,Value.silo_num,Config.paid,Config.period_length,Config.subperiods,Config.percent_cpsx,Config.percent_cpsy,Config.payoff_debug,Config.t,Config.show_secs_left,Config.discrete_time_type,Config.num_sp_settingy,Config.num_sp_settingx,Config.payoff_func,Config.p2_options,Config.scale_x,Config.scale_y,Config.payoff_debug2,Config.payoff_debug3
0,0,1418439615414589000,0,Subject-1@leeps.ucsc.edu,__register__,{u'username': u'Subject-1@leeps.ucsc.edu'},Subject-1@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439616265413000,0,Subject-2@leeps.ucsc.edu,__register__,{u'username': u'Subject-2@leeps.ucsc.edu'},Subject-2@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439616828824000,0,Subject-3@leeps.ucsc.edu,__register__,{u'username': u'Subject-3@leeps.ucsc.edu'},Subject-3@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439617412362000,0,Subject-4@leeps.ucsc.edu,__register__,{u'username': u'Subject-4@leeps.ucsc.edu'},Subject-4@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1418439618780865000,1418439584216,Subject-2@leeps.ucsc.edu,__set_group__,{u'group': 1},,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439618799869000,1418439584216,admin,get_silo,"{u'curr_silo': 0, u'id': u'Subject-2@leeps.ucsc.edu'}",,,0,Subject-2@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1418439618800349000,1418439584216,Subject-4@leeps.ucsc.edu,__set_group__,{u'group': 1},,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439618822014000,1418439584216,admin,get_silo,"{u'curr_silo': 0, u'id': u'Subject-4@leeps.ucsc.edu'}",,,0,Subject-4@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,1418439618822427000,1418439584216,Subject-1@leeps.ucsc.edu,__set_group__,{u'group': 2},,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439618844163000,1418439584216,admin,get_silo,"{u'curr_silo': 0, u'id': u'Subject-1@leeps.ucsc.edu'}",,,0,Subject-1@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,1418439618845109000,1418439584216,Subject-3@leeps.ucsc.edu,__set_group__,{u'group': 2},,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,1418439618866646000,1418439584216,admin,get_silo,"{u'curr_silo': 0, u'id': u'Subject-3@leeps.ucsc.edu'}",,,0,Subject-3@leeps.ucsc.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1418439622709602000,1418439588145,Subject-1@leeps.ucsc.edu,__set_period__,{u'period': 1},,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1418439622768181000,1418439588145,Subject-2@leeps.ucsc.edu,__set_period__,{u'period': 1},,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1418439622812734000,1418439588145,Subject-3@leeps.ucsc.edu,__set_period__,{u'period': 1},,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1418439622867503000,1418439588256,Subject-1@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,,,run,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439622923362000,1418439588292,Subject-2@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,,,run,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,0,1418439622980854000,1418439588145,Subject-4@leeps.ucsc.edu,__set_period__,{u'period': 1},,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,1418439623013685000,1418439588352,Subject-3@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,,,run,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439623120145000,1418439588529,Subject-4@leeps.ucsc.edu,__set_page__,{u'page': u'run'},,,,,,run,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,2,1418439623665027000,1418439589098,Subject-1@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439623726769000,1418439589160,Subject-2@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,2,1418439623826515000,1418439589260,Subject-3@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439623895052000,1418439589329,Subject-4@leeps.ucsc.edu,config,{},,,,,,,,,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,2,1418439623939551000,1418439589374,Subject-1@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-3@leeps.ucsc.edu'}",,,,,,,True,Subject-3@leeps.ucsc.edu,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,2,1418439623965870000,1418439589398,Subject-1@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-3@leeps.ucsc.edu'}",,,,,,,True,Subject-3@leeps.ucsc.edu,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439624053729000,1418439589482,Subject-2@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-4@leeps.ucsc.edu'}",,,,,,,True,Subject-4@leeps.ucsc.edu,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439624085256000,1418439589508,Subject-2@leeps.ucsc.edu,setup,"{u'chosen': True, u'keeper': u'Subject-4@leeps.ucsc.edu'}",,,,,,,True,Subject-4@leeps.ucsc.edu,,,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,2,1418439624102343000,1418439589535,Subject-1@leeps.ucsc.edu,update_bounds,"{u'index': 0, u'new_hi_bound': None, u'new_lo_bound': 0}",,,,,,,,,0,,0,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,2,1418439624103841000,1418439589536,Subject-1@leeps.ucsc.edu,update_bounds,"{u'index': 1, u'new_hi_bound': 1, u'new_lo_bound': None}",,,,,,,,,1,1,,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
1,1,1418439624106261000,1418439589540,Subject-2@leeps.ucsc.edu,update_bounds,"{u'index': 0, u'new_hi_bound': None, u'new_lo_bound': 0}",,,,,,,,,0,,0,,,,,,,,,,,0,75,0,0,0,1,1,0,stage,1,1,1,all,1,1,1,1
